seq,feed_to_engine_ns,decision_ns,total_ns
4090,1146595,33,111
4091,1146683,28,103
4092,1146936,32,117
4093,1146908,32,115
4094,1147014,28,103
4095,1147075,28,122
4096,1147242,28,122
4097,1148885,29,140
4098,1149150,29,114
4099,1149221,29,119
4100,1149446,63,154
4101,1149500,31,101
4102,1149592,28,113
4103,1149557,28,122
4104,1149728,27,113
4105,1149887,28,121
4106,1149877,28,106
4107,1149854,33,120
4108,1149848,32,245
4109,1149980,31,102
4110,1150087,33,111
4111,1150204,28,105
4112,1150378,27,99
4113,1150346,26,95
4114,1150437,28,123
4115,1150536,27,117
4116,1150747,36,128
4117,1150745,36,119
4118,1150849,36,115
4119,1150688,32,203
4120,1150866,31,120
4121,1151087,36,120
4122,1151174,31,114
4123,1151335,31,108
4124,1151313,31,107
4125,1151422,30,113
4126,1151504,32,110
4127,1151717,32,124
4128,1151730,32,110
4129,1151924,36,169
4130,1152049,36,126
4131,1152221,31,156
4132,1152250,35,120
4133,1152460,35,137
4134,1152658,31,117
4135,1152922,34,197
4136,1153010,30,102
4137,1153208,36,121
4138,1153291,30,103
4139,1153439,36,135
4140,1153470,31,104
4141,1153568,32,118
4142,1153659,32,109
4143,1153760,32,120
4144,1153747,32,99
4145,1153720,32,115
4146,1153711,35,124
4147,1153710,35,115
4148,1153711,31,135
4149,1153933,32,126
4150,1154043,36,160
4151,1154284,32,111
4152,1154451,33,130
4153,1154626,35,135
4154,1154768,31,104
4155,1154972,31,103
4156,1155159,31,100
4157,1155441,32,132
4158,1155543,36,114
4159,1155568,35,119
4160,1155780,32,138
4161,1155966,31,115
4162,1156028,30,122
4163,1156131,31,115
4164,1156229,83,167
4165,1156441,35,141
4166,1156719,32,117
4167,1156986,32,120
4168,1157268,36,131
4169,1157284,36,111
4170,1157303,30,114
4171,1157226,36,122
4172,1157463,33,156
4173,1157690,31,110
4174,1157811,31,108
4175,1157896,31,115
4176,1157972,32,116
4177,1157890,31,108
4178,1157995,36,174
4179,1158029,31,123
4180,1158126,37,125
4181,1158308,35,114
4182,1158138,36,128
4183,1158241,31,127
4184,1158251,32,110
4185,1158400,31,116
4186,1158379,32,113
4187,1158366,32,123
4188,1158376,32,136
4189,1158623,30,124
4190,1158815,31,104
4191,1158728,31,111
4192,1158830,31,126
4193,1158922,36,122
4194,1159095,30,130
4195,1159093,30,128
4196,1159220,30,117
4197,1159311,32,109
4198,1159405,30,108
4199,1159361,31,113
4200,1159466,31,115
4201,1159656,33,110
4202,1159917,31,115
4203,1159904,31,119
4204,1160018,32,118
4205,1160110,31,111
4206,1160205,31,130
4207,1160196,32,108
4208,1160297,31,108
4209,1160280,31,116
4210,1160299,31,108
4211,1160292,32,103
4212,1160366,30,115
4213,1160356,31,111
4214,1160563,30,121
4215,1160652,31,124
4216,1160750,32,117
4217,1160907,31,110
4218,1161064,30,123
4219,1161234,30,112
4220,1161497,37,217
4221,1161758,32,123
4222,1161927,34,128
4223,1162202,32,124
4224,1162455,36,158
4225,1164325,41,142
4226,1164501,32,117
4227,1164768,33,105
4228,1165028,62,153
4229,1165322,31,118
4230,1165571,32,122
4231,1165740,31,186
4232,1165968,30,106
4233,1166244,31,93
4234,1166308,37,126
4235,1166491,31,116
4236,1166650,31,129
4237,1166827,35,117
4238,1167075,31,118
4239,1167233,31,115
4240,1167387,37,127
4241,1167557,32,121
4242,1167717,32,182
4243,1167942,30,109
4244,1167918,36,132
4245,1168185,32,117
4246,1168450,32,111
4247,1168717,30,109
4248,1168877,30,114
4249,1169139,31,122
4250,1169248,31,133
4251,1169464,32,177
4252,1169676,33,114
4253,1169891,31,126
4254,1170152,32,119
4255,1170318,37,137
4256,1170632,31,117
4257,1170903,31,110
4258,1171169,32,117
4259,1171345,31,135
4260,1171617,30,107
4261,1171876,32,106
4262,1172029,32,109
4263,1172191,33,110
4264,1172351,32,101
4265,1172506,30,102
4266,1172655,35,129
4267,1172923,36,121
4268,1173186,31,116
4269,1173345,33,104
4270,1173489,31,116
4271,1173652,32,116
4272,1173916,30,102
4273,1173984,31,120
4274,1174144,30,114
4275,1174304,32,128
4276,1174290,32,214
4277,1174460,31,116
4278,1174565,37,118
4279,1174732,33,108
4280,1174887,31,107
4281,1174846,35,167
4282,1174881,30,107
4283,1174983,31,109
4284,1175077,31,134
4285,1175219,35,122
4286,1175418,31,108
4287,1175461,32,120
4288,1175582,31,110
4289,1175731,30,118
4290,1175898,31,143
4291,1175930,31,111
4292,1176022,62,152
4293,1176151,32,115
4294,1176366,31,118
4295,1176449,33,107
4296,1176662,32,113
4297,1176628,32,125
4298,1176540,32,110
4299,1176638,32,111
4300,1176615,32,118
4301,1176594,31,116
4302,1176709,31,116
4303,1176776,33,118
4304,1176883,31,114
4305,1176833,36,132
4306,1176963,32,163
4307,1176837,31,114
4308,1177044,31,111
4309,1177042,30,129
4310,1177258,33,91
4311,1177409,32,112
4312,1177493,32,122
4313,1177715,31,116
4314,1177801,31,116
4315,1177909,31,111
4316,1178002,30,93
4317,1177966,31,107
4318,1178073,31,118
4319,1178186,30,116
4320,1178404,31,114
4321,1178585,31,168
4322,1178746,31,108
4323,1178821,32,111
4324,1178784,32,116
4325,1178777,31,103
4326,1178879,32,116
4327,1178956,31,117
4328,1179068,31,101
4329,1179216,31,108
4330,1179197,31,123
4331,1179400,31,120
4332,1179565,32,117
4333,1179655,31,121
4334,1179822,31,111
4335,1179982,33,122
4336,1179948,32,105
4337,1179932,31,120
4338,1180041,31,115
4339,1180110,32,130
4340,1180237,31,123
4341,1180231,31,129
4342,1180353,32,124
4343,1180352,32,261
4344,1180600,31,125
4345,1180768,32,103
4346,1180731,32,119
4347,1180715,31,123
4348,1180823,31,110
4349,1180906,31,111
4350,1180901,32,110
4351,1180883,32,116
4352,1181047,32,180
4353,1182609,33,154
4354,1182845,30,170
4355,1183030,39,130
4356,1183209,89,174
4357,1183249,32,114
4358,1183446,31,111
4359,1183442,31,145
4360,1183605,32,104
4361,1183676,32,123
4362,1183793,33,111
4363,1183763,31,109
4364,1183867,32,113
4365,1184040,31,114
4366,1184224,134,1299
4367,1185573,27,127
4368,1185834,32,121
4369,1185721,31,118
4370,1185817,28,120
4371,1185931,27,118
4372,1185935,28,106
4373,1186036,32,167
4374,1186178,31,131
4375,1186388,32,117
4376,1186478,28,122
4377,1186694,28,106
4378,1186797,32,124
4379,1187005,31,108
4380,1187081,39,134
4381,1187212,28,176
4382,1187274,32,112
4383,1187493,28,105
4384,1187751,27,117
4385,1187929,28,106
4386,1188196,29,126
4387,1188167,28,108
4388,1188065,29,110
4389,1188155,28,130
4390,1188329,28,115
4391,1188415,29,118
4392,1188410,33,146
4393,1188433,28,114
4394,1188633,28,112
4395,1188744,31,130
4396,1188759,28,111
4397,1188745,32,171
4398,1189046,27,104
4399,1189304,28,126
4400,1189583,28,122
4401,1189673,32,163
4402,1189913,28,109
4403,1190092,31,139
4404,1190375,27,109
4405,1190353,28,124
4406,1190470,32,126
4407,1190488,31,115
4408,1190596,29,133
4409,1190599,28,117
4410,1190587,28,117
4411,1190583,31,115
4412,1190588,27,111
4413,1190565,32,115
4414,1190724,32,114
4415,1190818,28,113
4416,1190921,31,137
4417,1190922,32,117
4418,1191032,30,123
4419,1191029,31,110
4420,1191128,76,191
4421,1191293,33,133
4422,1191415,32,111
4423,1191389,36,126
4424,1191503,31,135
4425,1191613,31,119
4426,1191731,31,152
4427,1191941,36,122
4428,1192012,36,118
4429,1192034,32,116
4430,1192118,32,115
4431,1191889,31,119
4432,1191984,31,121
4433,1192084,35,164
4434,1192123,35,115
4435,1192333,32,114
4436,1192305,31,125
4437,1192294,32,118
4438,1192457,32,115
4439,1192457,31,141
4440,1192609,30,142
4441,1192727,32,107
4442,1192984,32,117
4443,1193262,31,108
4444,1193357,30,114
4445,1193468,31,116
4446,1193470,31,114
4447,1193387,30,117
4448,1193586,36,126
4449,1193568,36,105
4450,1193715,36,132
4451,1193893,31,102
4452,1194042,36,124
4453,1194211,34,136
4454,1194488,32,112
4455,1194752,33,128
4456,1194929,30,105
4457,1195077,37,120
4458,1195248,32,125
4459,1195414,32,114
4460,1195577,30,132
4461,1195757,32,135
4462,1196065,37,127
4463,1196327,33,114
4464,1196597,33,120
4465,1196867,31,122
4466,1197035,30,121
4467,1197204,31,121
4468,1197377,31,117
4469,1197538,31,110
4470,1197698,32,115
4471,1197855,33,188
4472,1198097,31,110
4473,1198351,32,183
4474,1198667,31,111
4475,1198932,31,107
4476,1199208,30,111
4477,1199472,32,104
4478,1199725,32,122
4479,1199893,31,122
4480,1200064,30,129
4481,1202026,32,128
4482,1202283,32,115
4483,1202549,31,93
4484,1202687,71,151
4485,1202885,35,107
4486,1203042,31,216
4487,1203309,32,118
4488,1203568,30,104
4489,1203729,32,116
4490,1203894,31,130
4491,1204067,32,95
4492,1204052,32,132
4493,1204173,31,99
4494,1204101,32,117
4495,1204322,32,112
4496,1204435,32,120
4497,1204645,31,129
4498,1204874,32,110
4499,1205074,32,115
4500,1205235,32,129
4501,1205408,31,116
4502,1205395,31,134
4503,1205391,32,124
4504,1205500,31,115
4505,1205481,31,122
4506,1205475,33,134
4507,1205610,30,112
4508,1205770,31,126
4509,1205764,33,100
4510,1205739,31,109
4511,1205696,32,129
4512,1205910,31,118
